id;start_date;end_date;language
1;2020-10-28T17:01:36;2020-10-28T14:51:51;SPANISH
2;2020-10-27T21:51:47;2020-10-28T16:56:12;SPANISH
3;2020-10-28T12:47:06;2020-10-27T23:21:15;FRENCH
4;2020-10-28T04:04:37;2020-10-28T15:36:03;FRENCH
5;2020-10-28T13:34:55;2020-10-28T18:21:54;FRENCH
6;2020-10-28T07:27:16;2020-10-28T19:35:30;FRENCH
7;2020-10-28T09:12:36;2020-10-28T03:03:27;FRENCH
8;2020-10-28T08:08:49;2020-10-28T18:24:57;SPANISH
9;2020-10-28T06:49:58;2020-10-28T03:31:21;SPANISH
10;2020-10-28T15:02:02;2020-10-28T01:36:32;SPANISH
